Underreporting;Date;TotalCases;TotalDeaths;GuineaCases;GuineaDeaths;LiberiaCases;LiberiaDeaths;SierraCases;SierraDeaths;NigeriaCases;NigeriaDeaths;SenegalCases;SenegalDeaths;UnitedCases;UnitedDeaths;SpainCases;SpainDeaths
;04.10.2014;;;;;;;2572;100;;;;;;;;
;02.10.2014;;;;;;;2480;100;;;;;;;;
;01.10.2014;7492;3439;1199;739;3834;2069;;;20;8;1;0;1;0;;
;28.09.2014;7192;3286;1157;710;3696;1998;2208;570;20;8;1;0;1;0;;
;27.09.2014;;;;;;;2149;100;;;;;;;;
;26.09.2014;;;;;;;2120;100;;;;;;;;
;25.09.2014;6808;3159;1103;668;3564;1922;2092;561;20;8;1;0;;;;
;24.09.2014;;;;;;;2021;100;;;;;;;;
;23.09.2014;6574;3043;1074;648;3458;1830;1967;557;20;8;1;0;;;;
;22.09.2014;;;;;;;1940;100;;;;;;;;
;21.09.2014;6263;2900;1022;635;3280;1707;1876;550;20;8;1;0;;;;
;20.09.2014;;;;;;;1813;100;;;;;;;;
;19.09.2014;;;;;;;1791;100;;;;;;;;
;18.09.2014;;;;;;;1753;100;;;;;;;;
;17.09.2014;5762;2746;965;623;3022;1578;1735;537;21;8;1;0;;;;
;16.09.2014;;;;;;;1703;100;;;;;;;;
;15.09.2014;;;;;;;1655;100;;;;;;;;
;14.09.2014;5339;2586;942;601;2720;1461;1603;516;21;8;1;0;;;;
;13.09.2014;;;;;;;1586;100;;;;;;;;
;12.09.2014;;;;;;;1551;100;;;;;;;;
;11.09.2014;;;;;;;1509;100;;;;;;;;
;10.09.2014;4846;2375;899;568;2415;1307;1478;493;22;8;3;0;;;;
;09.09.2014;;;;;;;1443;100;;;;;;;;
;08.09.2014;;;;;;;1424;100;;;;;;;;
;07.09.2014;4366;2177;861;557;2081;1137;1409;476;22;7;3;0;;;;
;06.09.2014;;;;;;;1361;100;;;;;;;;
;04.09.2014;;;;;;;1292;100;;;;;;;;
;03.09.2014;4001;2089;823;522;1863;1078;1261;452;22;7;1;0;;;;
;02.09.2014;;;;;;;1226;100;;;;;;;;
;01.09.2014;;;;;;;1216;100;;;;;;;;
;31.08.2014;3707;1808;771;494;1698;871;1190;436;21;7;1;0;;;;
;30.08.2014;;;;;;;1140;100;;;;;;;;
;29.08.2014;;;;;;;1117;100;;;;;;;;
;28.08.2014;;;;;;;1087;100;;;;;;;;
;27.08.2014;;;;;;;1057;100;;;;;;;;
;26.08.2014;;;;;;;1050;100;;;;;;;;
2.500;25.08.2014;3071;1553;648;430;1378;694;1025;422;19;7;;;;;;
;24.08.2014;;;;;;;994;381;;;;;;;;
;23.08.2014;;;;;;;966;100;;;;;;;;
;22.08.2014;;;;;;;913;100;;;;;;;;
;21.08.2014;;;;;;;902;100;;;;;;;;
;20.08.2014;2615;1427;607;406;1082;624;910;392;16;5;;;;;;
;19.08.2014;;;;;;;907;100;;;;;;;;
;18.08.2014;2473;135;579;396;972;576;850;374;15;4;;;;;;
;17.08.2014;;;;;;;848;100;;;;;;;;
;16.08.2014;2240;1229;543;394;834;466;836;365;15;4;;;;;;
;15.08.2014;;;;;;;823;100;;;;;;;;
;14.08.2014;;;;;;;810;100;;;;;;;;
;13.08.2014;2127;1145;519;380;786;413;800;348;12;4;;;;;;
;11.08.2014;1975;1069;510;377;670;355;783;334;12;3;;;;;;
;09.08.2014;1848;1013;506;373;599;323;730;315;13;2;;;;;;
;06.08.2014;1779;961;495;367;554;294;717;298;13;2;;;;;;
;04.08.2014;1711;932;495;363;516;282;691;286;9;1;;;;;;
;01.08.2014;1603;887;485;358;468;255;646;273;4;1;;;;;;
;30.07.2014;1440;826;472;346;391;227;574;252;3;1;;;;;;
;27.07.2014;1323;729;460;339;329;156;533;233;1;1;;;;;;
;23.07.2014;1201;672;427;319;249;129;525;224;;;;;;;;
;20.07.2014;1093;660;415;314;224;127;454;219;;;;;;;;
;17.07.2014;1048;632;410;310;196;116;442;206;;;;;;;;
;14.07.2014;982;613;411;310;174;106;397;197;;;;;;;;
;12.07.2014;964;603;406;304;172;105;386;194;;;;;;;;
;08.07.2014;888;539;409;309;142;88;337;142;;;;;;;;
;06.07.2014;844;518;408;307;131;84;305;127;;;;;;;;
;02.07.2014;779;481;412;305;115;75;252;101;;;;;;;;
;30.06.2014;759;467;413;303;107;65;239;99;;;;;;;;
;22.06.2014;599;338;;;51;34;;;;;;;;;;
;20.06.2014;581;328;390;270;;;158;34;;;;;;;;
;17.06.2014;528;337;;;;;97;49;;;;;;;;
;16.06.2014;526;334;398;264;33;24;;;;;;;;;;
;15.06.2014;522;333;394;263;33;24;95;46;;;;;;;;
;10.06.2014;474;252;372;236;;;;;;;;;;;;
;06.06.2014;453;245;;;;;89;7;;;;;;;;
;05.06.2014;445;244;351;226;;;81;6;;;;;;;;
;03.06.2014;436;233;344;215;;;;;;;;;;;;
;01.06.2014;383;211;328;208;;;79;6;;;;;;;;
;29.05.2014;354;211;;;;;50;6;;;;;;;;
;28.05.2014;319;209;291;193;;;;;;;;;;;;
;27.05.2014;309;202;281;186;;;16;5;;;;;;;;
;23.05.2014;270;185;258;174;;;;;;;;;;;;
;18.05.2014;265;187;253;176;;;;;;;;;;;;
;12.05.2014;260;182;248;171;;;;;;;;;;;;
;10.05.2014;245;168;233;157;12;11;;;;;;;;;;
;07.05.2014;249;169;236;158;;;;;;;;;;;;
;03.05.2014;244;166;231;155;;;;;0;0;;;;;;
;02.05.2014;239;160;;;13;11;;;;;;;;;;
;01.05.2014;237;158;226;149;;;;;;;;;;;;
;30.04.2014;233;155;221;146;;;;;;;;;;;;
;24.04.2014;253;152;;;35;;;;;;;;;;;
;23.04.2014;252;152;218;141;;;;;;;;;;;;
;21.04.2014;242;147;;;34;11;;;;;;;;;;
;20.04.2014;235;149;208;136;;;;;;;;;;;;
;17.04.2014;230;142;203;129;27;13;;;;;;;;;;
;16.04.2014;224;135;197;122;27;13;;;;;;;;;;
;14.04.2014;194;121;168;108;;;;;;;;;;;;
;11.04.2014;184;114;;;26;13;;;;;;;;;;
;10.04.2014;183;113;;;25;12;;;;;;;;;;
;09.04.2014;179;111;158;101;;;;;;;;;;;;
;07.04.2014;172;105;151;95;21;10;;;;;;;;;;
;01.04.2014;135;88;127;83;8;5;;;;;;;;;;
;31.03.2014;130;82;122;80;8;2;;;;;;;;;;
;29.03.2014;114;71;;;2;1;;;;;;;;;;
;28.03.2014;120;76;112;70;;;;;;;;;;;;
;27.03.2014;111;72;103;66;8;6;;;;;;;;;;
;26.03.2014;86;62;86;62;;;;;;;;;;;;
;25.03.2014;86;60;86;60;;;;;;;;;;;;
;24.03.2014;86;59;86;59;;;;;;;;;;;;
2.500;22.03.2014;49;29;49;29;;;;;;;;;;;;
